Text,Image,Folio
urn:cts:greekLit:tlg5026.msAil.hmt:12E.1,"urn:cite:hmt:vaimg.VA156VN-0658@0.6049,0.2559,0.089,0.0131",urn:cite:hmt:msA.156v
urn:cts:greekLit:tlg5026.msAil.hmt:12E.2,"urn:cite:hmt:vaimg.VA156VN-0658@0.6929,0.2943,0.0522,0.0112",urn:cite:hmt:msA.156v
urn:cts:greekLit:tlg5026.msAil.hmt:12E.3,"urn:cite:hmt:vaimg.VA156VN-0658@0.6848,0.4289,0.0504,0.0113",urn:cite:hmt:msA.156v
urn:cts:greekLit:tlg5026.msAil.hmt:12E.4,"urn:cite:hmt:vaimg.VA156VN-0658@0.8903,0.4427,0.045,0.0133",urn:cite:hmt:msA.156v
urn:cts:greekLit:tlg5026.msAil.hmt:12E.5,"urn:cite:hmt:vaimg.VA156VN-0658@0.7491,0.5039,0.0374,0.0111",urn:cite:hmt:msA.156v
urn:cts:greekLit:tlg5026.msAil.hmt:12E.6,"urn:cite:hmt:vaimg.VA156VN-0658@0.5426,0.5432,0.0455,0.0152",urn:cite:hmt:msA.156v
urn:cts:greekLit:tlg5026.msAil.hmt:12E.7,"urn:cite:hmt:vaimg.VA156VN-0658@0.6279,0.5602,0.0584,0.0139",urn:cite:hmt:msA.156v
urn:cts:greekLit:tlg5026.msAil.hmt:12E.8,"urn:cite:hmt:vaimg.VA156VN-0658@0.8874,0.5992,0.0341,0.0108",urn:cite:hmt:msA.156v
urn:cts:greekLit:tlg5026.msAil.hmt:12E.9,"urn:cite:hmt:vaimg.VA156VN-0658@0.5612,0.6542,0.0515,0.0145",urn:cite:hmt:msA.156v
urn:cts:greekLit:tlg5026.msAil.hmt:12E.10,"urn:cite:hmt:vaimg.VA157VN-0659@0.5865,0.2182,0.041,0.0108",urn:cite:hmt:msA.157v
urn:cts:greekLit:tlg5026.msAil.hmt:12E.11,"urn:cite:hmt:vaimg.VA157VN-0659@0.636,0.3362,0.0272,0.0096",urn:cite:hmt:msA.157v
urn:cts:greekLit:tlg5026.msAil.hmt:12E.12,"urn:cite:hmt:vaimg.VA157VN-0659@0.8777,0.3922,0.0529,0.0096",urn:cite:hmt:msA.157v
urn:cts:greekLit:tlg5026.msAil.hmt:12E.13,"urn:cite:hmt:vaimg.VA157VN-0659@0.6424,0.4137,0.0618,0.0096",urn:cite:hmt:msA.157v
urn:cts:greekLit:tlg5026.msAil.hmt:12E.14,"urn:cite:hmt:vaimg.VA157VN-0659@0.7358,0.4504,0.0618,0.0096",urn:cite:hmt:msA.157v
urn:cts:greekLit:tlg5026.msAil.hmt:12E.15,"urn:cite:hmt:vaimg.VA157VN-0659@0.5336,0.5438,0.0435,0.0104",urn:cite:hmt:msA.157v
urn:cts:greekLit:tlg5026.msAil.hmt:12E.16,"urn:cite:hmt:vaimg.VA157VN-0659@0.7487,0.5446,0.1735,0.0126",urn:cite:hmt:msA.157v
urn:cts:greekLit:tlg5026.msAil.hmt:12E.17,"urn:cite:hmt:vaimg.VA157VN-0659@0.5519,0.6232,0.0578,0.0108",urn:cite:hmt:msA.157v
