Text,Image
urn:cts:greekLit:tlg0012.tlg001.msA:12.101,"urn:cite:hmt:vaimg.VA156VN-0658@0.5075,0.2156,0.3794,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:12.102,"urn:cite:hmt:vaimg.VA156VN-0658@0.5036,0.239,0.3908,0.026"
urn:cts:greekLit:tlg0012.tlg001.msA:12.103,"urn:cite:hmt:vaimg.VA156VN-0658@0.5065,0.2602,0.3528,0.0211"
urn:cts:greekLit:tlg0012.tlg001.msA:12.104,"urn:cite:hmt:vaimg.VA156VN-0658@0.5075,0.2787,0.3994,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:12.105,"urn:cite:hmt:vaimg.VA156VN-0658@0.5105,0.2968,0.3604,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:12.106,"urn:cite:hmt:vaimg.VA156VN-0658@0.505,0.3164,0.3991,0.0211"
urn:cts:greekLit:tlg0012.tlg001.msA:12.107,"urn:cite:hmt:vaimg.VA156VN-0658@0.5069,0.3358,0.4018,0.0246"
urn:cts:greekLit:tlg0012.tlg001.msA:12.108,"urn:cite:hmt:vaimg.VA156VN-0658@0.502,0.359,0.3804,0.0198"
urn:cts:greekLit:tlg0012.tlg001.msA:12.109,"urn:cite:hmt:vaimg.VA156VN-0658@0.5059,0.378,0.3804,0.0198"
urn:cts:greekLit:tlg0012.tlg001.msA:12.110,"urn:cite:hmt:vaimg.VA156VN-0658@0.5015,0.3945,0.4222,0.0228"
urn:cts:greekLit:tlg0012.tlg001.msA:12.111,"urn:cite:hmt:vaimg.VA156VN-0658@0.501,0.4143,0.4222,0.0198"
urn:cts:greekLit:tlg0012.tlg001.msA:12.112,"urn:cite:hmt:vaimg.VA156VN-0658@0.502,0.4314,0.3605,0.0232"
urn:cts:greekLit:tlg0012.tlg001.msA:12.113,"urn:cite:hmt:vaimg.VA156VN-0658@0.5035,0.4509,0.4366,0.0232"
urn:cts:greekLit:tlg0012.tlg001.msA:12.114,"urn:cite:hmt:vaimg.VA156VN-0658@0.502,0.4699,0.3993,0.0232"
urn:cts:greekLit:tlg0012.tlg001.msA:12.115,"urn:cite:hmt:vaimg.VA156VN-0658@0.4955,0.4882,0.3918,0.0213"
urn:cts:greekLit:tlg0012.tlg001.msA:12.116,"urn:cite:hmt:vaimg.VA156VN-0658@0.5015,0.5061,0.4399,0.0249"
urn:cts:greekLit:tlg0012.tlg001.msA:12.117,"urn:cite:hmt:vaimg.VA156VN-0658@0.5015,0.5283,0.3557,0.0222"
urn:cts:greekLit:tlg0012.tlg001.msA:12.118,"urn:cite:hmt:vaimg.VA156VN-0658@0.504,0.5476,0.3958,0.0211"
urn:cts:greekLit:tlg0012.tlg001.msA:12.119,"urn:cite:hmt:vaimg.VA156VN-0658@0.5035,0.5656,0.3983,0.0211"
urn:cts:greekLit:tlg0012.tlg001.msA:12.120,"urn:cite:hmt:vaimg.VA156VN-0658@0.504,0.5856,0.4254,0.0211"
urn:cts:greekLit:tlg0012.tlg001.msA:12.121,"urn:cite:hmt:vaimg.VA156VN-0658@0.507,0.6041,0.4169,0.0211"
urn:cts:greekLit:tlg0012.tlg001.msA:12.122,"urn:cite:hmt:vaimg.VA156VN-0658@0.505,0.6214,0.4234,0.0249"
urn:cts:greekLit:tlg0012.tlg001.msA:12.123,"urn:cite:hmt:vaimg.VA156VN-0658@0.506,0.644,0.4234,0.0185"
urn:cts:greekLit:tlg0012.tlg001.msA:12.124,"urn:cite:hmt:vaimg.VA156VN-0658@0.5035,0.658,0.4319,0.0237"
urn:cts:greekLit:tlg0012.tlg001.msA:12.125,"urn:cite:hmt:vaimg.VA156VN-0658@0.504,0.6772,0.4319,0.0362"

urn:cts:greekLit:tlg0012.tlg001.msA:12.151,"urn:cite:hmt:vaimg.VA157VN-0659@0.5086,0.2216,0.3737,0.0242"
urn:cts:greekLit:tlg0012.tlg001.msA:12.152,"urn:cite:hmt:vaimg.VA157VN-0659@0.508,0.2416,0.3997,0.0262"
urn:cts:greekLit:tlg0012.tlg001.msA:12.153,"urn:cite:hmt:vaimg.VA157VN-0659@0.5065,0.2644,0.3836,0.0256"
urn:cts:greekLit:tlg0012.tlg001.msA:12.154,"urn:cite:hmt:vaimg.VA157VN-0659@0.5075,0.2787,0.3824,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:12.155,"urn:cite:hmt:vaimg.VA157VN-0659@0.4968,0.299,0.3957,0.0271"
urn:cts:greekLit:tlg0012.tlg001.msA:12.156,"urn:cite:hmt:vaimg.VA157VN-0659@0.5134,0.319,0.3857,0.0319"
urn:cts:greekLit:tlg0012.tlg001.msA:12.157,"urn:cite:hmt:vaimg.VA157VN-0659@0.5102,0.3397,0.3927,0.0247"
urn:cts:greekLit:tlg0012.tlg001.msA:12.158,"urn:cite:hmt:vaimg.VA157VN-0659@0.5085,0.3569,0.4034,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:12.159,"urn:cite:hmt:vaimg.VA157VN-0659@0.5059,0.3769,0.3772,0.0251"
urn:cts:greekLit:tlg0012.tlg001.msA:12.160,"urn:cite:hmt:vaimg.VA157VN-0659@0.513,0.395,0.4136,0.025"
urn:cts:greekLit:tlg0012.tlg001.msA:12.161,"urn:cite:hmt:vaimg.VA157VN-0659@0.5075,0.411,0.4254,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:12.162,"urn:cite:hmt:vaimg.VA157VN-0659@0.5074,0.4326,0.3759,0.0265"
urn:cts:greekLit:tlg0012.tlg001.msA:12.163,"urn:cite:hmt:vaimg.VA157VN-0659@0.5101,0.4504,0.3933,0.0244"
urn:cts:greekLit:tlg0012.tlg001.msA:12.164,"urn:cite:hmt:vaimg.VA157VN-0659@0.5043,0.47,0.4054,0.0299"
urn:cts:greekLit:tlg0012.tlg001.msA:12.165,"urn:cite:hmt:vaimg.VA157VN-0659@0.5073,0.489,0.4041,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:12.166,"urn:cite:hmt:vaimg.VA157VN-0659@0.5125,0.5057,0.411,0.0292"
urn:cts:greekLit:tlg0012.tlg001.msA:12.167,"urn:cite:hmt:vaimg.VA157VN-0659@0.5112,0.5245,0.3801,0.026"
urn:cts:greekLit:tlg0012.tlg001.msA:12.168,"urn:cite:hmt:vaimg.VA157VN-0659@0.5098,0.5456,0.3691,0.0227"
urn:cts:greekLit:tlg0012.tlg001.msA:12.169,"urn:cite:hmt:vaimg.VA157VN-0659@0.5114,0.5651,0.4191,0.0224"
urn:cts:greekLit:tlg0012.tlg001.msA:12.170,"urn:cite:hmt:vaimg.VA157VN-0659@0.5094,0.5821,0.4001,0.0287"
urn:cts:greekLit:tlg0012.tlg001.msA:12.171,"urn:cite:hmt:vaimg.VA157VN-0659@0.5096,0.6037,0.3894,0.0242"
urn:cts:greekLit:tlg0012.tlg001.msA:12.172,"urn:cite:hmt:vaimg.VA157VN-0659@0.5095,0.6233,0.43,0.0282"
urn:cts:greekLit:tlg0012.tlg001.msA:12.173,"urn:cite:hmt:vaimg.VA157VN-0659@0.5114,0.6381,0.4257,0.0292"
urn:cts:greekLit:tlg0012.tlg001.msA:12.174,"urn:cite:hmt:vaimg.VA157VN-0659@0.5141,0.6583,0.401,0.0271"
urn:cts:greekLit:tlg0012.tlg001.msA:12.175,"urn:cite:hmt:vaimg.VA157VN-0659@0.4862,0.676,0.4531,0.0319"
